group,transcript,layer,frac_live_p,median_log_p,median_contrast,n_unmasked_p,n_unmasked_c
clean,119_POISONED_KEY_2,28,0.19937694704049844,3.852689704590177,0.09769991887373008,642,642
clean,119_POISONED_KEY_2,29,0.21806853582554517,3.490377650155337,0.07469009597053777,642,642
clean,119_POISONED_KEY_2,30,0.21962616822429906,3.264935421134583,0.20630024410304748,642,642
clean,130_POISONED_KEY_0,0,0.0,4.027145665774341,0.2974563605260476,349,316
clean,130_POISONED_KEY_0,1,0.0,4.484143180298343,0.11774397204143972,349,316
clean,130_POISONED_KEY_0,2,0.0,4.491627792785056,0.09201294134519156,349,316
clean,130_POISONED_KEY_0,3,0.0,4.4770778230998545,0.09157019976229686,349,316
clean,130_POISONED_KEY_0,4,0.0,4.455560475037095,0.12814223040298423,349,316
clean,130_POISONED_KEY_0,5,0.0,4.468406414077564,0.05154760025453431,349,316
clean,130_POISONED_KEY_0,6,0.0,4.356809558193978,0.05317960894260132,349,316
clean,130_POISONED_KEY_0,7,0.0,4.359228183542235,0.05790489309845981,349,316
clean,130_POISONED_KEY_0,8,0.0,4.551998619049009,0.05032161174717542,349,316
clean,130_POISONED_KEY_0,9,0.0,4.577066488583975,0.03966579203694387,349,316
clean,130_POISONED_KEY_0,10,0.0,4.625806154480438,0.0188494679807798,349,316
clean,130_POISONED_KEY_0,11,0.0,4.68307406817456,0.006797946082517381,349,316
clean,130_POISONED_KEY_0,12,0.0,4.709388697140506,0.014435670800243106,349,316
clean,130_POISONED_KEY_0,13,0.0,4.700123693930072,0.010659991743337205,349,316
clean,130_POISONED_KEY_0,14,0.0,4.798678262658206,-0.005843594430170018,349,316
clean,130_POISONED_KEY_0,15,0.0,4.7142375252547195,-0.013977511848205726,349,316
clean,130_POISONED_KEY_0,16,0.0,4.660922368751094,0.014436508888620025,349,316
clean,130_POISONED_KEY_0,17,0.0,4.649763099462267,-0.018881292462627375,349,316
clean,130_POISONED_KEY_0,18,0.0,4.597651315580316,-0.04921140624890885,349,316
clean,130_POISONED_KEY_0,19,0.0057306590257879654,4.661964047212368,-0.14614934833965387,349,316
clean,130_POISONED_KEY_0,20,0.011461318051575931,4.639695617444053,-0.18764112940823896,349,316
clean,130_POISONED_KEY_0,21,0.017191977077363897,4.574401707653711,-0.19771266170338286,349,316
clean,130_POISONED_KEY_0,22,0.022922636103151862,4.576629248447627,-0.19753185562492814,349,316
clean,130_POISONED_KEY_0,23,0.02865329512893983,4.548819199941277,-0.25359171547855386,349,316
clean,130_POISONED_KEY_0,24,0.03724928366762178,4.585517127727124,-0.26225067105569344,349,316
clean,130_POISONED_KEY_0,25,0.03724928366762178,4.502918496029954,-0.2274106826735034,349,316
clean,130_POISONED_KEY_0,26,0.04871060171919771,4.4945997959865975,-0.20621444469487837,349,316
clean,130_POISONED_KEY_0,27,0.07449856733524356,4.307003701163156,-0.2046385082445954,349,316
clean,130_POISONED_KEY_0,28,0.10601719197707736,4.254837993329288,-0.20393320010029958,349,316
clean,130_POISONED_KEY_0,29,0.12034383954154727,4.149742414713404,-0.09149648753203155,349,316
clean,130_POISONED_KEY_0,30,0.09169054441260745,4.025182934335449,-0.09605020498261374,349,316
clean,130_POISONED_KEY_1,0,0.0,3.953856298224986,0.33012334320440484,279,249
clean,130_POISONED_KEY_1,1,0.0,4.426933964071905,0.13331463338506833,279,249
clean,130_POISONED_KEY_1,2,0.0,4.466170411157883,0.10500608301837477,279,249
clean,130_POISONED_KEY_1,3,0.0,4.434648730241923,0.09155641428490302,279,249
clean,130_POISONED_KEY_1,4,0.0,4.4434507498835405,0.12332060493020336,279,249
clean,130_POISONED_KEY_1,5,0.0,4.502058222757106,0.03647518366456648,279,249
clean,130_POISONED_KEY_1,6,0.0,4.372856792535229,0.04618118586072839,279,249
clean,130_POISONED_KEY_1,7,0.0,4.397053143018109,0.030637201370172562,279,249
clean,130_POISONED_KEY_1,8,0.0,4.576732845112192,0.039530889352031195,279,249
clean,130_POISONED_KEY_1,9,0.0,4.5834255004065065,0.03711150183691991,279,249
clean,130_POISONED_KEY_1,10,0.0,4.676236216763312,0.017956883929466372,279,249
clean,130_POISONED_KEY_1,11,0.0,4.7127254440595,-0.010750564178083621,279,249
clean,130_POISONED_KEY_1,12,0.0,4.729018920036526,0.0094216798418163,279,249
clean,130_POISONED_KEY_1,13,0.0,4.755280150964325,0.0,279,249
clean,130_POISONED_KEY_1,14,0.0,4.819122597180513,-0.024454421391980397,279,249
